__db_index__,saja,test
0,0,1
1,1,2
2,2,3
3,3,4
4,4,1
5,5,2
6,6,3
7,7,2
8,8,1
9,9,5
10,10,7
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
0.0,0.0,1.0
1.0,1.0,2.0
2.0,2.0,3.0
3.0,3.0,4.0
4.0,4.0,1.0
5.0,5.0,2.0
6.0,6.0,3.0
7.0,7.0,2.0
8.0,8.0,1.0
9.0,9.0,5.0
10.0,10.0,7.0
11.0,11.0,
12.0,12.0,
13.0,13.0,
14.0,14.0,
15.0,15.0,
16.0,16.0,
17.0,17.0,
18.0,18.0,
19.0,19.0,
20.0,20.0,
21.0,21.0,
